alt_id,comment,created_by,creation_date,def,name,property_value,subset,synonym,xref
,,,,"""Causal agent: species of Sarocladium, Bipolaris, Alternaria, Gerlachia, Fusarium, Phoma, Curvularia, Trichoconiella and Psaudomonas etc. Symptoms: darkening of glumes of spikelets, brown color to black including rotten glumes caused by one or more pathogens. Intensity ranges from sporadic discoloration to discoloration of the whole glume. Severity of grain discoloration can be estimated by counting of grains with more than 25% of glume surface affected."" [Gramene:pankaj_jaiswal, IRRI:SES]",fungal infection related grain discoloration,,,"['""Gd (related)"" RELATED []', '""grain discoloration (related)"" RELATED []']",
,Refer to length PATO:0000122: A 1-D extent quality which is equal to the distance between two points.,,,"""A ligule morphology trait (TO:0002748) which is a length of a ligule measured in millimeters from the base of the leaf collar to the tip of the ligule (PO:0020105)."" [IRRI:SES, PO:0020105, TO:cooperl]",ligule length,,,"['""LgL (related)"" RELATED []', '""LIGLG (related)"" RELATED []']",['PATO:0000122']
,,,,"""Important for nitrate fixation."" [Gramene:pankaj_jaiswal]",molybdenum sensitivity,,,,
,An example is CMS-boro in rice.,,,"""Abortion at tri-nucleate stage of microspore development."" [Gramene:pankaj_jaiswal, IRRI:SES]",aborted tri-nucleate stage,,,"['""TNUABR (related)"" RELATED []']",
,,,,"""Actual count of the total number of tillers after full heading, Specify if per plant, hill or area."" [IRRI:SES]",culm number,,,"['""CmN (related)"" RELATED []']",
,,,,"""Number of unfilled florets in a grass inflorescence."" [Gramene:pankaj_jaiswal]",unfilled grain number,,,"['""UNFILGRNB (related)"" RELATED []', '""unfilled florets per panicle (related)"" RELATED []', '""unfilled grain (related)"" RELATED []']",
,,,,"""Sensitivity to the chlorine content in the growth medium. Chloride helps regulate the correct pH (acid/alkaline) balance. This is a major electrolyte in the living cell besides sodium and potassium. It is available to the cell mainly in the form of NaCl and KCl salts."" [Gramene:pankaj_jaiswal]",chlorine sensitivity,,,"['""CHLORSN (related)"" RELATED []']",
,,,,"""A common sedge weed Cyperus iria (rice flatsedge), Cyperus difformis (Small flower umbrella sedge),  Rice field bulrush Scirpus mucronatus, River bulrush Scirpus fluviatilis. Grows as a weed in the rice field. Can be distinguished from grass plant by the leaf shape, venation, stem cross-section and plant shape leaf shape."" [Gramene:pankaj_jaiswal, ISBN:9712200299, web:http//www.ipm.ucdavis.edu/PMG/r682700999.html]",sedge weed,,,,
,,,,,silicon sensitivity,,,,
,,,,,selenium sensitivity,,,,
,,,,,iodine sensitivity,,,,
,,,,"""Sensitivity to the chromium content in the growth medium."" [Gramene:pankaj_jaiswal]",chromium sensitivity,,,"['""CHRSN (related)"" RELATED []']",
,,,,,incompatibility trait,,,,
,,,,,hybrid incompatibility,,,"['""HYBIC (related)"" RELATED []']",
,,,,,fluorine sensitivity,,,,
,Evaluated at growth stage:8 in rice.,,,"""A panicle morphology trait (TO:0000847) which is the measurement in centimeters from panicle base to tip."" [IRRI:SES]",panicle length,,,"['""PnL (related)"" RELATED []', '""PNLG (related)"" RELATED []']",
,Refer to length (PATO:0000122): A 1-D extent quality which is equal to the distance between two points.,,,"""A grain length (TO:0000734) monitored after dehulling but before polishing. The grain should contain pericarp (PO:0009084)."" [IRRI:SES, PO:0009084, TO:moorel]",brown rice length,,,"['""BRWLG (related)"" RELATED []', '""Len (related)"" RELATED []']",['PATO:0000122']
,,,,,f1-hybrid incompatibility,,,"['""F1HYBIC (related)"" RELATED []']",
,,,,"""A plant axis morphology trait (TO:0000738) which is a quality of a root (PO:0025025)."" [Gramene:pankaj_jaiswal, PO:0025025, TO:cooperl]",root morphology trait,,,,['TO_GIT:58']
,"Scale,  (%), Stigma exsertion; 1- Above 70, Well exserted; 3- 41-70, Moderately well exserted; 5- 21-40, Just exserted; 7- 11-20, Partly exserted; 9- 0-10, Enclosed.  Evaluated at growth stage:6 and 7 in rice.",,,"""Trait is monitored by counting number of flowers or florets that have completed anthesis on a given day and showing exserted stigma. Trait expressed as  percent stigma exsertion."" [Gramene:pankaj_jaiswal, IRRI:SES]",stigma exsertion,,,"['""STIEX (related)"" RELATED []', '""stigma exsertion of male sterile lines (related)"" RELATED []']",
,,,,"""Causal agent: Balanasia oryzae-sativae (Ephelis oryzae). Symptoms: a white mycelial mat ties the panicle branches together so that they emerge as single, small, cylindrical rods."" [Gramene:pankaj_jaiswal, IRRI:SES]",udbatta disease resistance,,,"['""UDb (related)"" RELATED []']",
,,,,,f2-generation sterility,,,"['""F2GST (related)"" RELATED []']",
,,,,,sporophytic incompatibility,,,,
,,,,"""Causal agent: Tilletia barclayana. Symptoms: infected grains show minute black pustules or streaks bursting through the glumes. In severe infection, the rupturing glumes produce short beak-like or spur-like outgrowths."" [Gramene:pankaj_jaiswal]",kernel smut disease resistance,,,"['""KSm (related)"" RELATED []', '""KSRS (related)"" RELATED []']",
,,,,,gametophytic incompatibility,,,"['""GPHIC (related)"" RELATED []']",
['TO:0000263'],Branching usually determines the shape and compactness of the inflorescence,,,"""An inflorescence morphology trait (TO:0000373) which is the extent of branching. (PO:0009049)."" [Gramene:pankaj_jaiswal, PO:0009049, TO:moorel]",inflorescence branching,,,"['""panicle branching (related)"" RELATED []']",['TO_GIT:96']
,Refer to strength (PATO:0001230): A quality inhering in a bearer by virtue of the bearer's power or force.,,,"""A stem morphology trait (TO:0000361) which is the strength of a stem (PO:0009047)."" [Gramene:pankaj_jaiswal, IRRI:SES, PO:0009047, TO:moorel]",stem strength,,,"['""Cs (related)"" RELATED []', '""culm strength (related)"" RELATED []', '""CULMSTR (related)"" RELATED []', '""STEMSTR (related)"" RELATED []']",['PATO:0001230']
,,,,"""An inflorescence morphology trait (TO:0000373) which is the extent of primary branching that usually sets the tone for shape and compactness of the inflorescence (PO:0009049) (rice panicle)."" [Gramene:pankaj_jaiswal, PO:0009049, TO:moorel]",primary branching of inflorescence,,,"['""PBR (related)"" RELATED []', '""primary branching of panicle (related)"" RELATED []']",
,,,,"""Observed under a microscope at magnification 10x10 after staining with 1% iodine potassium iodide (IKI) solution. Samples for pollen are collected from anthers and fixed in 70% alcohol. Two to three anthers are extracted from each floret and pollen grains are squeezed out into the IKI solution drop. At least three fields are used to count the sterile pollen grains; unstained withered, unstained spherical and partially stained round and fertile, from stained round pollen grains. Percentage sterility is calculated as = (unstained withered+unstained spherical+partially stained) x 100/total number of pollen grains in the field including the fertile."" [Gramene:pankaj_jaiswal, IRRI:SES]",pollen sterility,,,,
,,,,"""Response by the plant in terms of resistivity or sensitivity to the animals infesting them."" [Gramene:pankaj_jaiswal]",animal damage resistance,,,"['""pest resistance (related)"" RELATED []']",
,Refer to pubescent hair (PATO:0001320): A pilosity quality of being covered with short hairs or soft down.,,,"""A leaf lamina morphology trait (TO:0000829) which is the extent of pubescence  (presence of hairs)  on a leaf lamina (PO:0020039)."" [IRRI:SES]",leaf lamina pubescence,,,"['""LBP (related)"" RELATED []', '""leaf blade pubescence (related)"" RELATED []', '""LFLHR (related)"" RELATED []', '""LFLPUBES (related)"" RELATED []']",['PATO:0001320']
,"Refer to color (PATO:0000014): A composite chromatic quality composed of hue, saturation and intensity parts.",,,"""A stem morphology trait (TO:0000361) which is the color of a stem (PO:0009047)."" [Gramene:pankaj_jaiswal, PO:0009047, TO:moorel]",stem color,,,,['PATO:0000014']
,,,,,grain moisture,,,,
,"It is expected that the herbicide application must not affect the agronomic yield, if any.",,,"""A chemical stress sensitivity (TO:0000482) which is the tolerance exhibited by a plant towards the applied herbicide."" [Gramene:pankaj_jaiswal, TO:moorel]",herbicide sensitivity,,,"['""herbicide tolerance (related)"" RELATED []', '""weedicide tolerance (related)"" RELATED []']",['PECO:0007183']
,,,,"""Color of the stem node."" [Gramene:pankaj_jaiswal]",node color,,,"['""NDCL (related)"" RELATED []']",
,An example is CMS-WA in rice.,,,"""Abortion at uni-nucleate stage of microspore development."" [Gramene:pankaj_jaiswal, IRRI:SES]",aborted uni-nucleate stage,,,"['""UNUABR (related)"" RELATED []']",
,,,,,node shattering,,,"['""brittle node (related)"" RELATED []']",
,,,,,phenol reaction,,,,
,,,,,mimic response,,,"['""disease mimic response (related)"" RELATED []', '""lesion mimic (related)"" RELATED []', '""MIRP (related)"" RELATED []']",
,,,,"""A whole plant morphology trait (TO:0000398) which is a quality of a plant embryo (PO:0009009)."" [PO:0009009, TO:moorel]",plant embryo morphology trait,,,,['TO_GIT:140']
,,,,"""A root morphology trait (TO:0000043) which is the color of a root (PO:0009005)."" [Gramene:pankaj_jaiswal]",root color,,,"['""RTCL (related)"" RELATED []']",
,,,,"""Temperature sensitive male sterility, affected by environment."" [Gramene:pankaj_jaiswal, IRRI:SES]",genic male sterility-thermo sensitive,,,"['""TGMS (related)"" RELATED []', '""thermo sensitive genic male sterility (related)"" RELATED []']",
,,,,"""Measure of percentage of plants that lodged."" [IRRI:SES]",lodging incidence,,,"['""Lg (related)"" RELATED []', '""LOI (related)"" RELATED []']",
,,,,,variegated leaf,,,"['""albino leaf striping (related)"" RELATED []', '""leaf stripes (related)"" RELATED []']",
,"In maize this trait is observed for chlorotic tissue between veins or older leaves, causing holes and torn appearance.",,,"""Variegated leaf necrosis or scorching observed in response to stresses like drought, insecticides and cold temperature as evidenced by chlorotic and/or necrotic tissue."" [Gramene:pankaj_jaiswal]",variegated leaf necrosis,,,"['""ragged leaf (related)"" RELATED []', '""VLFNEC (related)"" RELATED []']",
,"Anthocyanin is the red to purple pigments composed of soluble glycosides of anthocyanidins, present in leaves and floral tissue. Usually the pigment is produced under stress conditions. Amounts of anthocyanin produced depend on stored sugar and sunlight. The more stored sugar in the leaf and brighter the autumn days, the more intense red. Anthocyanin production also increases as phosphates move out of the leaves; the lack of phosphates in young leaves can also lead to the production of anthocyanin.",,,"""The anthocyanin content in a plant or plant part."" [ISBN:198506732]",anthocyanin content,,,"['""ANTHCN (related)"" RELATED []']",
,Refer to length PATO:0000122: A 1-D extent quality which is equal to the distance between two points.,,,"""An awn morphology trait (TO:0002718) which is the length of awn (PO:0025349)."" [IRRI:SES, PO:0025349, TO:moorel]",awn length,,,"['""An (related)"" RELATED []', '""awning (related)"" RELATED []', '""AWNLG (related)"" RELATED []']",['PATO:0000122']
,,,,"""Sensitivity to the manganese content in the growth medium. It is important for activation of some enzymes and role in metal ion homeostasis."" [Gramene:pankaj_jaiswal]",manganese sensitivity,,,"['""MNSN (related)"" RELATED []']",
,,,,"""Causal agent: Magnaporthe grisea."" [Gramene:pankaj_jaiswal]",blast disease resistance,,,"['""blast disease resistance trait (exact)"" EXACT []', '""blast disease susceptibility (narrow)"" NARROW []']",['TO_GIT:69']
,,,,"""Response shown by the plant in terms of sensitivity to light stress (quality and quantity of light)."" [Gramene:pankaj_jaiswal]",light sensitivity,,,,
,"Does not include traits of fruit, parts of fruit and adventitious roots which are borne on the shoot.",jaiswalp,,"""A collective plant organ structure morphology trait (TO:0000842) which is a quality of a shoot system (PO:0009006)."" [Gramene:pankaj_jaiswal, PO:0009006, TO:cooperl]",shoot system morphology trait,,,,['TO_GIT:57']
,,,,"""The average dry weight of the root determined in a study."" [Gramene:jcl, Gramene:pankaj_jaiswal]",root dry weight,,,"['""rdw (related)"" RELATED []', '""rdw/t (related)"" RELATED []', '""root dry weight per tiller (related)"" RELATED []', '""RTDWT (related)"" RELATED []', '""total root dry weight (related)"" RELATED []']",
,,cooperl,,"""A bract morphology trait (TO:0000815) which is a quality of a flower bract (PO:0009034)."" [Gramene:pankaj_jaiswal, PO:0009034, TO:cooperl]",flower bract morphology trait,,,,['TO_GIT:390']
,,,,"""Sensitivity response shown by the plant grown in either the excess or deficient amount of the micronutrient in the growth medium (soil)."" [Gramene:pankaj_jaiswal]",micronutrient sensitivity,,,"['""micronutrient deficiency (related)"" RELATED []']",
,,,,"""The average dry weight of the root, (for the root part 30cm below the soil surface) determined per tiller in a green house study."" [Gramene:jcl, Gramene:pankaj_jaiswal]",deep root dry weight,,,"['""deep root dry weight per tiller (exact)"" EXACT []', '""deep root weight (exact)"" EXACT []', '""DRTDWT (exact)"" EXACT []', '""drw (exact)"" EXACT []', '""drw/t (exact)"" EXACT []']",
,,,,"""Causal agent: Recilia dorsalis (Motschulsky)."" [Gramene:pankaj_jaiswal]",zigzag leafhopper resistance,,,"['""ZLFHRS (related)"" RELATED []']",
,,,,"""Its the total number of roots penetrating the hard pans of the soil or the number of roots penetrated through the wax-petrolatum layer measured at 50 days after sowing (DAS)."" [Gramene:jcl, Gramene:pankaj_jaiswal]",penetrated root number,,,"['""npr (related)"" RELATED []', '""number of penetrating roots (related)"" RELATED []', '""PENRTNB (related)"" RELATED []']",
,,,,"""A root system morphology trait (TO:0000985) which is the number of roots (PO:0009005) in a root system (PO:0025025)."" [Gramene:jcl, Gramene:pankaj_jaiswal, PATO:0001555, TO:cooperl, TO_GIT:357]",root number,,,"['""RTNB (related)"" RELATED []', '""tnr (related)"" RELATED []']",
,"Leaf rolling is a feature observed in response to stresses like drought, water and temperature.  If you are annotating to this term, please add an additional annotation to vascular leaf morphology (TO:0000419) or non-vascular leaf morphology trait (TO:0000925), depending on the species.",,,"""A leaf morphology trait (TO:0000748) which is the rolling of a leaf preceding the leaf drying stage."" [Gramene:jcl, Gramene:pankaj_jaiswal, TO:moorel]",leaf rolling,,,"['""LFRL (related)"" RELATED []', '""wilting (related)"" RELATED []']",
,,,,"""Causal agent: Sarocladium oryzae. Symptoms: oblong or irregular brown to grey lesions on the leaf sheath near panicle; sometimes coalescing to prevent emergence of panicle."" [Gramene:pankaj_jaiswal, IRRI:SES]",sheath rot disease resistance,,,"['""ShR (related)"" RELATED []', '""SHROTRS (related)"" RELATED []']",
,It is often associated with the accumulation of the aromatic compound 2-acetyl-1-pyrroline.,,,"""The aroma of the cooked/uncooked grains."" [Gramene:pankaj_jaiswal, IRRI:SES]",grain aroma trait,,,"['""AROMA (related)"" RELATED []', '""odour (related)"" RELATED []', '""scent (exact)"" EXACT []', '""Sct (related)"" RELATED []']",
,,,,"""Causal agent: rice yellow mottle virus (RYMV). Symptoms: stunting, reduced tillering, mottling and yellowish streaking of the leaves, delayed flowering or incomplete emergence of the panicle; in extreme cases, death of plants."" [Gramene:pankaj_jaiswal, IRRI:SES]",rice yellow mottle virus resistance,,,"['""RYMV (related)"" RELATED []', '""RYMVRS (related)"" RELATED []']",
,,,,"""A panicle inflorescence morphology trait (TO:0000847) which is the mode of branching, angle of primary branches, and spikelet density of a panicle inflorescence (PO:0030123)."" [IRRI:SES, TO:moorel]",panicle inflorescence type,,,"['""panicle attitude of branches (related)"" RELATED []', '""PnT (related)"" RELATED []', '""PNTYPE (related)"" RELATED []']",
,,,,"""At 50 days after sowing (DAS), the thickness of roots penetrated through the wax-petrolatum layer is measured.  Penetrated root thickness is measured on penetrated roots immediately below the wax layer."" [Gramene:jcl, Gramene:pankaj_jaiswal]",penetrated root thickness,,,"['""PENRTTH (related)"" RELATED []', '""prt (related)"" RELATED []']",
,,,,"""The ratio of deep root length (for the roots found 30cm below the soil surface) and the shoot length determined in a study."" [Gramene:pankaj_jaiswal]",deep root to shoot ratio,,,"['""deep root length to shoot length ratio (related)"" RELATED []', '""deep root ratio (related)"" RELATED []', '""deep root/shoot ratio (related)"" RELATED []', '""dr/s (related)"" RELATED []', '""DRTSHRO (related)"" RELATED []']",
,,,,,root pulling force,,,"['""rpf (related)"" RELATED []', '""RTPF (related)"" RELATED []']",
,,,,"""The thickness of the root present 2cm below the soil surface."" [Gramene:jcl, Gramene:pankaj_jaiswal]",basal root thickness,,,"['""BARTTH (related)"" RELATED []', '""brt (related)"" RELATED []']",
,,,,"""Sensitivity to the osmoticum in the growth medium."" [Gramene:pankaj_jaiswal]",osmotic response sensitivity,,,"['""oa (related)"" RELATED []', '""OSRPSN (related)"" RELATED []']",
,,,,"""Regeneration of the main stem and tillers after harvesting in a grass plant."" [Gramene:jn, Gramene:pankaj_jaiswal]",ratooning ability,,,"['""RAAB (related)"" RELATED []']",
,"It is a polysaccharide present in starch. Amylopectin is a polymer of alpha(1,4)-linked glucose units, as is amylose (see amylose). Unlike amylose, amylopectin contains branches of 2430 glucose units connected to the main chain by an alpha(1,6) linkage.",,,"""Amount of amylopectin present in the plant or plant part."" [ISBN:198506732]",amylopectin content,,,"['""AMYPCTCN (related)"" RELATED []']",
,If the endosperm has high amount of amylose it is called as non-glutinous endosperm. This is also an endosperm quality trait (TO:0000587).,,,"""An endosperm morphology trait (TO:0000575) which is an opaque and hard endosperm (PO:0009089) with low or no amylose content (TO:0000196)."" [Gramene:pankaj_jaiswal, PO:0009089, TO:moorel]",glutinous endosperm,,,"['""opaque endosperm (related)"" RELATED []', '""waxy endosperm (related)"" RELATED []']",['TO_GIT:133']
,This is also an endosperm quality trait (TO:0000587).,,,"""An endosperm morphology trait (TO:0000575) which is a wrinkled and glassy endosperm (PO:0009089) when dry."" [Gramene:pankaj_jaiswal, PO:0009089, TO:moorel]",sugary endosperm,,,"['""sugary kernel (related)"" RELATED []']",['TO_GIT:133']
,"This is also an endosperm quality trait (TO:0000587). Refers to shrunken PATO:0000585 A decreased size quality inhering in a bearer by virtue of the bearer's exhibiting reduced size of a cell or constituent group of cells (for example, organ).",,,"""An endosperm morphology trait (TO:0000575) which is a shrunken and opaque endosperm (PO:0009089)."" [Gramene:pankaj_jaiswal, PO:0009089, TO:moorel]",shrunken endosperm,,,"['""collapsed kernel (related)"" RELATED []', '""transluscent kernel (related)"" RELATED []']","['PATO:0000585', 'TO_GIT:133']"
,,,,"""A common sedge weed Monochoria vaginalis (monochoria), California arrowhead Sagittaria montevidensis, Gregg arrowhead Sagittaria longiloba, Ducksalad Heteranthera limosa, Echinodorus berteroi and E. cordifolius (Burhead), Ammannia spp (Redstems), Bacopa spp. (Water hyssops), Alisma plantago-aquatica (Common water plantain). Grows as a weed in the rice field. Can be distinguished from rice plant by the leaf shape, venation, stem cross-section and plant shape leaf shape."" [Gramene:pankaj_jaiswal, ISBN:9712200299, web:http//www.ipm.ucdavis.edu/PMG/r682700999.html]",broad-leaved weed,,,,
,,,,"""Sensitivity to the phosphorus content in the growth medium. It is important in various biochemical pathways and storage of energy."" [IRRI:SES]",phosphorus sensitivity,,,"['""PDef (related)"" RELATED []', '""PHOSN (related)"" RELATED []', '""phosphorus deficiency (related)"" RELATED []']",
,,,,"""The sensitivity response shown by the plant growing in a stagnant water for a long period of time (not unlike deepwater presence during flash flooding of the fields)."" [Gramene:pankaj_jaiswal]",deepwater stress,,,"['""deep water stress (related)"" RELATED []', '""DWSTR (related)"" RELATED []']",
,This is also an endosperm quality trait (TO:0000587).,,,"""An endosperm morphology trait (TO:0000575) which is an opaque and soft endosperm (PO:0009089)."" [Gramene:pankaj_jaiswal, PO:0009089, TO:moorel]",floury endosperm,,,,['TO_GIT:133']
,This is also an endosperm quality trait (TO:0000587).,,,"""An endosperm morphology trait (TO:0000575) which is a glassy and tarnished endosperm (PO:0009089) with low amylose content (TO:0000196)."" [Gramene:pankaj_jaiswal, PO:0009089, TO:moorel]",dull endosperm,,,"['""glassy endosperm (related)"" RELATED []']",['TO_GIT:133']
,,,,"""Represents the different types of male sterility found in plants."" [Gramene:pankaj_jaiswal]",male sterility type,,,"['""MS (related)"" RELATED []']",
,,,,"""Assay for the amount of 13kDa seed storage protein present in the endosperm."" [Gramene:pankaj_jaiswal]",endosperm storage protein-1 content,,,,
,The leaf shattering trait is the occurence of  the biological process of leaf abscission (GO:0060866): the controlled shedding of a leaf.,,,"""A leaf growth and development trait (TO:0000655) which is the extent of leaf shattering based on the development of a leaf abscission zone (PO:0006501)."" [Gramene:pankaj_jaiswal, PO:0006501, TO:cooperl]",leaf shattering,,,"['""leaf abscission (related)"" RELATED [GO:0060866, SOY:0001342]', '""LFSH (related)"" RELATED []']",['GO:0060866']
,,,,"""Assay for amount of 57kDa seed storage protein present in the endosperm."" [Gramene:pankaj_jaiswal]",endosperm storage protein-2 content,,,,
,,,,"""Abortion of microspore development at uni-nucleate stage."" [Gramene:pankaj_jaiswal, IRRI:SES]",wild abortive CMS,,,"['""CMS-WA (related)"" RELATED []', '""WACMS (related)"" RELATED []']",
,,,,"""The sterility induced by transgenes expressing cytotoxic component."" [Gramene:pankaj_jaiswal, IRRI:SES]",genetically engineered male sterility,,,,
,It represents the damage done by the diease and/or the pathogen to the plant. The damage is a direct measure of resistance to the particular pathogen variety causing the disease.,,,"""An assay to determine the resistance exhibited by a plant or a group of plants (population) in response to the disease caused by a pathogen infection as compared to the susceptible and/or the reference plants of the same species."" [Gramene:pankaj_jaiswal]",disease resistance,,,"['""disease control (exact)"" EXACT []', '""disease resistance trait (exact)"" EXACT []', '""disease susceptibility (narrow)"" NARROW []', '""disease tolerance (exact)"" EXACT []']",
,,,,"""An embryo shape trait (TO:0000193) that is a large sized plant embryo (PO:0009009)."" [Gramene:pankaj_jaiswal, PO:0009009, TO:moorel]",giant embryo,,,,
,,,,,flooding related trait,,,,
,,,,"""Determined as the dry mass of roots per unit soil volume at a given soil section."" [Gramene:pankaj_jaiswal]",root mass density,,,"['""rmd (related)"" RELATED []', '""RTMD (related)"" RELATED []']",
,,,,"""Root mass density 0-15 cm was calculated as the dry mass of roots per unit soil volume at 0-15 cm soil section."" [Gramene:jcl, Gramene:pankaj_jaiswal]",root mass density 0-15,,,"['""rmd 0-15 (related)"" RELATED []']",
,,,,"""Since there is no genetic resistance to rats, the damage can be quantified as it does not represent resistance."" [Gramene:pankaj_jaiswal, IRRI:SES]",rat damage resistance,,,"['""RD (related)"" RELATED []']",
,,,,"""Root mass density 15-30 cm was calculated as the dry mass of roots per unit soil volume at 15-30 cm soil section."" [Gramene:jcl, Gramene:pankaj_jaiswal]",root mass density 15-30,,,"['""rmd 15-30 (related)"" RELATED []']",
,,,,"""Root mass density 30-45 cm was calculated as the dry mass of roots per unit soil volume at 30-45 cm soil section."" [Gramene:jcl, Gramene:pankaj_jaiswal]",root mass density 30-45,,,"['""rmd 30-45 (related)"" RELATED []']",
,,,,"""Calculated as percent of root mass density over the total root mass density. Both parameters scored at the same depth."" [Gramene:pankaj_jaiswal]",percent root mass density,,,"['""PCENTRTMD (related)"" RELATED []', '""prmd (related)"" RELATED []']",
